Original_Dialect,MSA_conversion
خويا شمسو فالقمة,أخي شمسو، أنت في القمة!
مانسوطيش يعطيك صح شمسو,لن أتوقف عن دعمك، شكرًا لك يا شمسو.
روعة خويا شمسو,رائع يا أخي شمسو.
جام كومونتر مانسيتش ابوني يعطيك الصحة خويا,يا له من تعليق رائع! لن أتوقف عن دعمك يا صديقي، صحّة وعافية.
قوة خويا شمسو,أنت قوي يا أخي شمسو.
ربي يحفضك شمسو فيديو فالقمة,حفظك الله يا شمسو، فيديو رائع!
يعطيك الصحة شمسو مانسوطيش,صحّة وعافية يا شمسو، لن أتوقف عن دعمك.
كمل برك راك فور خويا شمسو,أكمل يا أخي شمسو، أنت رائع!
منسوطيش ابوني 45مليون جام و45مليون معاك الحق يقال,"لن أتوقف عن دعمك، 45 مليون رائع، و45 مليون ""يجب قول الحق""."
معاك شمسو فالمليحة الدونياة ربي يوفقك,أنا معك يا شمسو، الحياة جميلة، حفظك الله.
فيديو انس تينا فكرني في فيديو قنبلة شمسو ديزاد جوكر مانسوطيش شمسو فيديو نتاعو اكثر تاثيرا من تاع انس تينا,"هذا الفيديو يذكرني بفيديو ""قنبلة"" لشمسو ديزاد جوكر. لن أتوقف عن دعمك يا شمسو، فيديوهاتك أكثر تأثيرًا من فيديوهات أنس تينا."
هه حفظتها ولا مازال,هل حفظتها أم لا؟
فوور شمسو يعطيك الصحة,أنت رائع يا شمسو، صحّة وعافية.
فوور ربي يحفظك خويا,رائع، حفظك الله يا أخي.
يعطيك صحة خويا شمسو,صحّة وعافية يا أخي شمسو.
يعطيك الصحة خويا شمسو,صحّة وعافية يا أخي شمسو، أنا أحبك.
يعطيك الصحة شمسو نحبك,أكمل يا شمسو، نحن معك، ولن أتوقف عن دعمك.
كمل رنا معك شمسو وله منسوطيش,لن أتوقف عن دعمك، حفظك الله يا أخي شمسو.
مانسوطيش ربي يحفظك خونا شمسو,صحّة وعافية يا شمسو، كلامك صحيح، لن أتوقف عن دعمك.
يعطيك الصحة شمسو كلام في الصميم منسوطيش,أنت تستحق مليون رائع يا أخي شمسو.
تستاهل الف جام خويا شمسو,أنت رائع يا أخي شمسو، رائع جدًا!
فوور خوية شمسو فور بزااف,صحّة وعافية يا أخي شمسو.
يعطيك الصحة خويى شمسو,شمسو، صحّة وعافية، هذا الفيديو مؤثر.
شمسو يعطيك الصحة فيديو مؤثر,معك حق يا أخي شمسو، نحن معك.
عندك لحق خويا شمسو رانا معاك,صحّة وعافية يا أخي شمسو.
صح خوي شمسو,أنت رائع يا أخي.
فور فور فور خو,أكمل يا أخي.
فور خويا شمسو كمل خو,لا أحد يستطيع إيقافنا، نحن معك يا شمسو.
واحد مايسوطي رانا معاك شمسو,أخي شمسو، كما هو الحال دائمًا، أنت رائع!
خويا شمسو كي لعادة فور,لن أتوقف عن دعمك، صحّة وعافية يا شمسو.
مانسوطيش يعطيك الصحة شمسو,لن نتوقف عن دعمك يا شمسو.
ما نسووطييوش شمسو,أنا لن أتوقف عن دعمك.
يعطيك الصحة خويا شمسو انا مانسوطيش,شكرًا لك يا أخي شمسو، أنا لن أتوقف عن دعمك.
يعطيك الصحة شمسو راني معاك منسوطوش هدرتك كامل صح,صحّة وعافية يا أخي شمسو، أنا لن أتوقف عن دعمك، أنت على حق في كل ما قلته.
كلمات فيديو منسوطيش ديزاد جوكر في قناتي,"كلمات فيديو ""لن أتوقف عن دعمك"" لديزاد جوكر في قناتي."
خويا شمسو قوة اقليميةهدي الفيديو,أخي شمسو، أنت قوة إقليمية، هذا الفيديو لك.
فوور خويا شمسو,أنت رائع يا أخي شمسو.
شمسو من بكري فوور هو انس تينا والثالث نسيته هه المهم فوور بزاف شمسو,شمسو رائع منذ زمن بعيد، أنس تينا رائع أيضًا، أما الثالث فقد نسيت اسمه، لكن المهم أنهم جميعًا رائعون!
هه هايلة هاذي هه,هههه، هذه رائعة!
راح فيها شمسو,لقد تفوق عليهم شمسو.
انس تينا فات شمسو في ليزابوني,أنت على حق يا أخي شمسو.
عاندك الحق شمسو خويا,أنت رائع يا شمسو، حفظك الله يا أخي.
فوور شمسو ربي يحفظك خو,هذا صحيح يا أخي شمسو، أنت رائع!
هادي الهدرة خويا شمسو انت فور خويا,هذا صحيح يا أخي شمسو، أنت رائع حقًا!
يعطيك الصحة يالربي,شكرًا لك، يا رب.
ابوني عند شمسو,لدي اشتراك في قناة شمسو.
قوة الله يبارك ربي يعاونك خويا شمسو منسوطيش,قوة، الله يبارك، حفظك الله يا أخي شمسو، لن أتوقف عن دعمك.
شكون لي جا من فيديو تاع انس تينا راني زعفان يخبط جام,من أتى من فيديو أنس تينا، أنا غاضب، فليضغط زر الإعجاب.
