Original_Dialect,MSA_conversion
ايهاب كان رايح يطول بيبسي لقا خالد عند التلاجه,إيهاب كان ذاهبًا لشراء مشروب بيبسي، فوجد خالدًا أمام الثلاجة.
طب كم طقم طربيزات عليهم رسمه بقلاوه بجيبو,كم عدد مجموعات الطاولات التي عليها رسم بقلاوة؟
ما علينا,لا يهم.
بتتحول بتوخد وضعيه الهجوم بتقصع و بتصير ترمي حكي,عندما تغضب، تتخذ وضعية الهجوم، وتتعالى وتتحول إلى ثرثارة.
انا وطيت صوتي و نزلت راسي و صرت ارمش و العب بأصابعي انو قال كيوت و مستحيه و حكيتلو زوعانه بدي نمه,"لقد خفضت صوتي، وأنزلت رأسي، وبدأت في الرمش ولمس أصابعي، وتظاهرت بالخجل، وقلت له: ""أنا متعبة وأريد أن أنام""."
ميشان هيك الاهل بغلوا المهر ميشان يعرف قيمتها,لهذا السبب، يرفع الآباء مهر ابنتهم، حتى يعرف زوجها المستقبلي قيمتها.
للأسف هاد المضحك المبكي معك حق,للأسف، هذا هو الواقع المؤلم والمضحك في نفس الوقت، أنت على حق.
قي سجاد سجاد متناثر في جميع الغرف مين بدو يغسلو و ينظفو و ينكسر عامودو الفقري و هو يفركو غيري,هناك سجاد متناثر في جميع الغرف، من سيغسله وينظفه ويكسر عموده الفقري أثناء فركه؟ أنا بالتأكيد لن أفعل ذلك!
وانحرقت القصه هاي بمليون قصه كفاح,لقد احترقت هذه القصة، مثل مليون قصة كفاح أخرى.
الا مني انا يدوب زابطه معي امشي اصلا,أنا بالكاد أستطيع أن أعتني بنفسي وأمشي.
طب بلتاجي شو بدو يلحق هسا,ماذا يمكن أن يفعل بلتاجي الآن؟
يعني من الآخر هل الشاب العربي مضحي لهدرجه القرفيه و يتحمل قرف انثاه,"في النهاية، هل الشاب العربي مستعد للتضحية إلى هذا الحد، وتحمل ""قرف"" أنثاه؟"
الحمدلله ع سلامتك ي مهجه قلبي اهم اشي سلامتك اما البيبي ان شاء الله الله بيرزقنا مره تانيه الله يرحمو راح قبل منشوفو الله بعوض,الحمد لله على سلامتك يا مهجة قلبي، الشيء المهم هو سلامتك، أما الطفل، فبإذن الله سيرزقنا الله مرة أخرى. لقد رحل قبل أن نراه، الله يرحمه ويعوضنا.
المهم هاد هو سبب حيره اغلب البنات اللي صافنات بخزناتهم,المهم، هذا هو سبب حيرة معظم الفتيات اللاتي يفكرن في خزائن ملابسهن.
شوفلك قصه تانيه احكي فيها ما زبطت معك هالمره,ابحث عن قصة أخرى لتحكيها، فهذه القصة لم تنجح معك هذه المرة.
انتبه من البنت اللي بتقول غروري بحضوري هاي لا محضر ولا منظر و خالتها اللي بالضفه هيه اللي اقنعتها انها حلوه مره شافتها بالعيد و قرصتها من خدها و قالت تؤبشني الاموره و من يومها و هي عايشه بحاله توحد بالجمال وشوفه الحال هاي نهايتها تداوم بالبريد تختم رسائل للسودان,"احذر من الفتاة التي تقول ""غروري بحضوري""، فهي لا تملك شيئًا ولا مظهرًا جذابًا، وخالتها التي تعيش في الضفة الغربية هي من أقنعتها بأنها جميلة. في أحد الأعياد، رأتها وقرصت خدها قائلة: ""يا حبيبتي أنتِ""، ومنذ ذلك اليوم، تعيش الفتاة في حالة من الوهم بجمالها، وتنظر إلى نفسها على أنها أجمل من الجميع. نهايتها أنها تعمل في مكتب البريد، تختم الرسائل المتجهة إلى السودان."
راحت اخدت ست حبات ريفانين عالفاضي,لقد ذهبت وأخذت ست حبات ريفانين بلا فائدة.
ما بعرف شو كان بتهيألي لما قررت اكزب ع زوجي كزبه نيسان,لا أعرف ما الذي كنت أتوقعه عندما قررت أن أكذب على زوجي في كذبة أبريل.
وكمان البنت ترحم حالها الشب مش جاي يشتري كيس بطاطا هو جاي يتزوجك تخليهوش يندم ع الساعه اللي تزوجك فيها,كما أن على الفتاة أن ترحم نفسها، فالشاب لم يأتِ ليشتري كيسًا من البطاطا، إنه هنا ليتزوجك، فلا تجعليه يندم على اللحظة التي تزوجك فيها.
اكلنا هوا ازرق هسا برفعو المخالفات و تراخيص المحلات وضرايب القارمات و ضريبه عالمشي عالرصيف و برفعو حق العلكه وبرفعو سعر المواد الخام للسحلب وببيعو ارض العبدلي وبحطو ضريبه ع صحن الستالايت لانو ماخد مساحه من الجو و بفتحو محل جاكيتات بسوق السلطان,لقد تعرضنا جميعًا لخسائر فادحة، الآن يتم رفع المخالفات ورخص المحلات وضريبة اللافتات التجارية وضريبة المشي على الرصيف، وحتى سعر المواد الخام للشاي بالحليب يتم رفعه، ويتم بيع أرض العبدلي، وفرض ضريبة على طبق الستالايت لأنه يحتل مساحة من الهواء، ويتم افتتاح متجر للسترات في سوق السلطان.
وينهم طلاب العلم,أين طلاب العلم؟
بعدين ارفع النيجرا,ثم ارفع النيجرا.
طبعا دايما اخو العريس بيكون في بشكير عرقبتو وبيرش مي عالارض مشان الغبره والعريس بيكون حالق و وجهو احمر من الخيط عند الحلاق هاد اللي بيسموه تنظيف بشره,بالطبع، دائمًا ما يكون شقيق العريس ممسكًا بمنشفة، ويرش الماء على الأرض بسبب الغبار، بينما يكون العريس نفسه حليقًا، ووجهه أحمر من الخيط المستخدم في صالون الحلاقة، ما يُسمى بتنظيف البشرة.
صح لانه كل انسان عنده قناعه مختلفه من تجارب مختلفه,صحيح، لأن لكل شخص قناعاته المختلفة المبنية على تجاربه الخاصة.
