Original_Dialect,MSA_conversion
بقا بالوسايط و المحسوبيات,الأمر كله يتعلق بالعلاقات والمحسوبية.
منستاهل اكتر لان بكره متل الغنم حينتخبوا نفس,نستحق أكثر لأنهم غداً مثل الأغنام سيختارون نفس الشيء
انو صار وقت تاكل بوظه,لقد حان وقت تناول البوظة
اذا شخص حامل تلفون فانوس شو مفكر حالك معك ايفون,إذا كان شخص ما يحمل هاتف فانوس، ماذا تظن نفسك، هل معك آيفون؟
بدنا رضا الست اقوى مترجم يا هشام,نحن نريد رضا السيدة، أقوى مترجم يا هشام
اول حكومه سودانيه يرأسها رئيس للوزراء,أول حكومة سودانية يرأسها رئيس وزراء
في يسعد صباحك ومساك,يسعد صباحك ومساك
اصطبحنا ب ناس مفصومه من الصبح,استيقظنا على أشخاص منفصلين عن الواقع منذ الصباح
اس عبر نحن هنا اولادك جميعنا سنساعدك,قُل لهم نحن هنا، كلنا أبناؤك وسنساعدك
حدا يعطي هيشو حبه تحت اللسان,هل يمكن لأحد أن يعطي حبة تحت اللسان لهشام
بدها اذن من سليمان بك,تحتاج إلى إذن من سليمان بك
كل الناس خير و بركه بالآخر بتطلع انت ل عالبركه,كل الناس خير وبركة، وفي النهاية أنت تعتمد على بركة الله
الله يرحموا هيدا قضاء وقدر,رحمه الله، هذا قضاء وقدر
كتير ولسى ما سمعت اشي,كثير، ولم أسمع شيئًا بعد
منبر عبر منيع هاشتاج ولك روحو كبهن بالزباله,هاشتاج منبر حر آمن، اذهبوا والقوا بهم في القمامة
نعمه من الله انا عشنا بزمانك ببلد تهريج الط وائف والتب وله,نعمة من الله أننا عشنا في زمنك، في بلد الاستهزاء بالطوائف والتبول
اديش الناس موجوع وبدا شي تفضفض عن وجعا,كم الناس متألمة وتحتاج إلى شيء تفضفض عنه
لمآ تحب شخص اكثر من فسك تأكد انك دمرت نفسك وأنتهيت,عندما تحب شخصًا أكثر من نفسك، تأكد أنك دمرت نفسك وانتهيت
اعمل شي منيح للناس تدعي لك بالخير مش تدعي عليك,افعل شيئًا جيدًا حتى يدعو لك الناس بالخير، ولا يدعون عليك
بيكنباور مستعدون لتنظيم المونديال في اي وقت,بيكنباور: نحن مستعدون لاستضافة كأس العالم في أي وقت
شكرا على تشجيعك واكون سعيدا اذا سمح وقتك بمتابعه براعمي,شكرًا على تشجيعك، وسأكون سعيدًا إذا سمح وقتك بمتابعة براعمي
بس تخلص جامعه في وظيفه نطرتك,بمجرد أن تنتهي من الجامعة، هناك وظيفة في انتظارك
تمنيت اسمع سوريه بلد السلام,تمنيت أن أسمع أن سوريا بلد السلام
ببلد متل لبنان بدون سرقه و فساد,في بلد مثل لبنان، بدون سرقة وفساد
بإسم فريق منقلو لفخامه الرئيس انت مش بس بي الكل وجد الكل انت تاج راسنا كلنا والله يحفظلنا ياك,باسم الفريق أهدي هذا إلى فخامة الرئيس، أنت لست مجرد قائد بين الجميع، أنت تاج رؤوسنا جميعنا، وحفظنا الله أيها الكريم.
صح النوم معالي وزير الداخليه,استيقظ معالي وزير الداخلية
والله انه حسيت في تمثيل بالموضوع اي ماضل حدا مابيفهم بهالزمن بس فكره مطبقه ميه بالميه عالواقع مش بس بلبنان كمان بالاردن,والله شعرت أن هناك تمثيل في الموضوع، لم يبق أحد لا يفهم في هذا الزمن، ولكنها فكرة مطبقة مئة بالمئة على الواقع، ليس فقط في لبنان ولكن أيضًا في الأردن
