Original_Dialect,MSA_conversion
هه اصلا حاليا فى وفد قطري موجود بغزه واللعبه هاى صارت محفوظه خخ,هه، في الواقع، هناك وفد قطري موجود حاليًا في غزة، وقد أصبحت هذه اللعبة معروفة للجميع خخ.
عادي طعميها لأنها ما راح تكتفي من صدرك صار بدها وجبات خفيفه,عادي، أرضعيها لأنها لن تكتفِ من صدرك، لقد أصبحت تريد وجبات خفيفة.
اعملي اللي عليكي لوجه الله,افعلي ما عليك لوجه الله.
حكت شفتها اكتر من مره بلبس قصير واكيد زوجي شافها,رأيتها أكثر من مرة بملابس قصيرة، وزوجي بالتأكيد رآها أيضًا.
و هيا وإياه بتزوجو هه,وهي وإياه سيتزوجان هه.
تاني اشي امسحي بكاز لانه بقتل البراغيت,الشيء الثاني، امسحيها بالكاز لأنه يقتل البراغيث.
بدنا نعمل مسابقه لأحلى صوره بروفايل,نريد أن نقيم مسابقة لأحلى صورة بروفايل.
الناس بكل الاحوال رح تضل تحكي,الناس في كل الأحوال ستستمر في الكلام.
حبيبتي يا هدهد تسلمي عالاطراء الجميل,حبيبتي يا هدهد، شكرًا على الإطراء الجميل.
الأصح انو قبل ما تكشف حماها تجيب دليل ع عمايلو السوده عشان وقتها ما حدا يقدر يتكلم وتحكي بكل عين قويه,من الأصح أنه قبل أن تكشف حماها، يجب أن تأتي بدليل على أفعاله السيئة، حتى لا يتمكن أحد من التحدث، ويمكنها أن تتحدث بكل قوة.
واتأخري عليه بالرد ع الجوال مسلا احكيلو كنت اصلي حبه حبه حيمشي بدونزن,وتأخري في الرد عليه على الجوال، مثلاً أخبريه أنك كنت تصلي، سيتحرك بدونك.
دائما يارب الحمد الله,دائمًا يا رب، الحمد لله.
المهم صاروا يحكو ويحكو يعبو براسي وراسها,المهم أنهم بدأوا يتحدثون ويتحدثون، يملؤون رأسي ورأسها.
تالت شي اتمنا انك تتوجهي لصلاه الحاجه في الثلث الاخير من الليل ان استطعتي او بالنهار عادي اطلبي من ربنا يهديهم واشكي همك ودمعك لله واستمري عليها انا شخصيا فرقت معي كتيير,الشيء الثالث، أتمنى أن تتوجهي إلى صلاة الحاجة في الثلث الأخير من الليل إن استطعتِ، أو في النهار، اطلبي من الله أن يهديهم، واشكي همك ودموعك إلى الله، واستمري عليها، أنا شخصيًا فرقت معي كثيرًا.
ما في زوء شو هالعالم هذي يارب صبرنا ع هيك ناس ربنا يرحم امها و ويدخلها فسيح جناته يارب,لا يوجد ذوق، ما هؤلاء الناس؟ يا رب صبرنا على هؤلاء الناس، اللهم ارحم أمها وأدخلها فسيح جناتك يا رب.
مجرم لابوه وﻵ لامه هه,مجرم لأبوه أو لأمه هه.
ع فكره زرقان الوجه نقص اكسجين ايش بتستسني عنجد قهرتيني,على فكرة، زرقان الوجه نقص أكسجين، ماذا تنتظرين؟ لقد أغضبتيني حقًا.
وهالسياره مش عم تمشي تبا بس,وهذه السيارة لا تسير، تبا فقط.
بيتي ازكي وانظف مطبخ,منزلي أنظف وأزكى مطبخ.
ممكن يكون ما بركز معاكي لانو بكره اشي بالمدرسه متل معلمته او صحابه او اي اشي زاعجه روحي عالمدرسه وشوفي الوضع حببيه بالمدرسه بحب الدراسه,ربما لا يركز معك لأنه يكره شيئًا في المدرسة مثل معلمته أو أصدقائه أو أي شيء يزعجه، اذهبي إلى المدرسة وشاهدي الوضع، اجعليه يحب المدرسة والدراسة.
اصلا حقيتها لما ييجي يتحرش فيها تسلط كاميره الجوال عليه من دون ما يلاحظ وبهايك بتقدر تحكي وهي جريئه وبتكون عندها الادله الواضحه والبراهين الي بتثبت انو بيتحرش فيها ساعتها الكل بسدقها,من حقها عندما يتحرش بها أن تصور كاميرا الجوال عليه دون أن يلاحظ، وبهذا يمكنها أن تتحدث بجرأة، وستكون لديها أدلة واضحة وبراهين تثبت أنه يتحرش بها، حينها سيصدقها الجميع.
هي انا وسلفتي زي الخوات واكثر علاقتنا قويه فوق ما تتخيلي,هي أنا وسلفتي مثل الأخوات وأكثر، علاقتنا قوية أكثر مما تتخيلي.
د المعامله الطيبه والكلمه الحلوهوالاحترام والمحبه بتكونى علاقه طيبه معها,بالمعاملة الطيبة والكلمة الحلوة والاحترام والمحبة، ستكون علاقتك طيبة معها.
كتير عملوها وما زبطتت,كثيرون فعلوها ولم تنجح.
بس عن حالي حاسه تربايته وتعبه ع اولاد مش ولد,لكنني أشعر أن تربيته وتعبها على الأولاد ليس ولدًا واحدًا.
طبعا الها علاج مره طلعت لبنتي بشعرها يروح للدكتور عزات جوده بعماره البورنو عند مستشفى لشفا,بالتأكيد لها علاج، مرة خرجت لبنتي بشعرها، اذهبي إلى الدكتور عزات جودة في عمارة البورنو بالقرب من مستشفى الشفاء.
بس ايش عانيت ومحدش عانا قدي,لكنني عانيت كثيرًا، ولا أحد عانى مثلي.
والله صحيح مسيرك يا كنه تسيري حمايه,والله صحيح، مصيرك يا كنة أن تصبحي حماة.
ويمكن لان بنتك لسا صغيره فهو رافض قصه الحمل,وربما لأن ابنتك ما زالت صغيرة، فهو يرفض فكرة الحمل.
لو سمحتو طمنونا لما يوصلو الصاله الفلسطينيه العالقين,لو سمحتم، طمئنونا عندما يصلون إلى الصالة الفلسطينية العالقين.
البوست للامر بالمعروف وما في فضيحه لا مذكور اسم شخص ولا اسم عيله,البوست للأمر بالمعروف، ولا توجد فضيحة، لم يتم ذكر اسم شخص أو اسم عائلة.
لا كلامها سليم البنت المحترمه مستحيل حد يرميلها كلام,كلامها سليم، البنت المحترمة مستحيل أن يرمي لها أحد كلامًا.
