Original_Dialect,MSA_conversion
علي صوت الناس بالبكي و بلّشت أحكي بعصبية و كأني عم اهدي بالناس,تعالت أصوات الناس بالبكاء،  بدأت أتحدث بانفعال و كأنني أهدي في الناس
فبكيت سكتت العالم كلا و أنا استغربت من حالي و كأني بمنام,فبكيت،  سكت الناس جميعا و أنا ذهلت من نفسي ، كأني في حلم
فبكيت سكتت العالم كلا و أنا استغربت من حالي و كأني بمنام,قام الجميع يسلمون علي و يتحدثون معي ، نصفه بكاء و نصفه الآخر لم أفهمه
قاموا كلّون يسلّموا عليي و يحاكوني نصو بكي و نصو كلام ما فهمت منو شي,دعينا للعشاء و كان العشاء يكفي جميع المدعوين
انعزمنا عالعشا و كان العشا بيكفي كل المعازيم,ﺃمضيت ﺃياما جميلة لن أنساها طوال عمري
مضيت أيام حلوة بعمري ما بنساها,أنهيت دراستي في المعهد بمشقة
خلصت دراستي بالمعهد بطلوع الروح,فلم أكن جادا في دراستي
حاكم أنا ما كنت جدي بدراستي,فلم أكن جادا في دراستي
اشتغلت بمشفى قريب من بيتي الحمد لله أموري ميسرة و عايش مع أهلي,اشتغلت في أحد المستشفيات القريبة من بيتي،  الحمد لله فأموري متيسرة و أعيش مع والدي
قررت أجمع مهر لمرتي و كان الشغل ماشي منيح و مرتب و خاصة أنو شغلي كان بمشفى عسكري,قررت أن أجمع مهر زوجتي،  كان العمل يسير بشكل جدي و منظم خاصة أن عملي في مستشفى عسكري
المشفى فيه موظفين من كل الدول من أوروبا و أفريقيا و كانت علاقتي فيون علاقة عمل,المستشفى يضم موظفين من كل البلدان من أوروبا من إفريقيا و كانت علاقتي بهم علاقة عمل
المشفى فيه موظفين من كل الدول من أوروبا و أفريقيا و كانت علاقتي فيون علاقة عمل,و في أحد الأيام قرر أحد الأطباء البريطانيين السفر إلى بلاده لانتهاء مدة عمله معنا
و لمرة قرر طبيب بريطاني يسافر ع بلدو لأنو مدة عملو معنا انتهت,فكرنا في إقامة حفل وداع له و حددنا حديقة المستشفى كمكان لإقامة الحفل
فكرنا نساويلو حفلة وداع و اتفئنا نساوي الحفلة بجنينة المشفى,حضرنا كل شيء،  اشترينا الحلويات و المشروبات
حضّرنا كل شي و اشترينا الحلو و المشروب,و لكن الأمر الذي كنت أفكر فيه هو ما هي الهدية التي سأقدمها له
بس الشي اللي كنت عم فكر فيه أنو شو بدي جبلو هدية,هذا الطبيب يهوى جمع القطع التقليدية
هالطبيب هاوي جمع قطع تقليدية,هذا الطبيب يهوى جمع القطع التقليدية
اقترح عليي ابن عمي أنو اشتريلو مصحف أو كتاب بيحكي عن الإسلام,اقترح علي ابن عمي أن ﺃشتري له مصحفا أو كتابا يتحدث عن الإسلام
تاني يوم لما رحت لشوف شو بدي اشتريلو لاقيت كتاب بيحكي عن الإسلام بالانكليزي,في الغد ، عندما ذهبت لأبحث  عما أشتري له ، وجدت كتابا  بالإنجليزية يتحدث عن الإسلام
طنّ كلام ابن عمي بأدني و قررت أشتريه خصوصي أنو ما كان غالي,رنت كلمات ابن عمي في أذني،  فقررت أن أشتريه خاصةً أنه لم يكن غالي الثمن
طنّ كلام ابن عمي بأدني و قررت أشتريه خصوصي أنو ما كان غالي,أخذت الكتاب  و الحفل كان ممتعا،  ﺃعطيته الهدية و بعدها سافر صاحبنا الطبيب
أخدت الكتاب مرت الحفلة على خير و عطيتو الهدية و سافر بعدا صاحبنا الدكتور,مرت الأيام و الشهور بسرعة،  تزوجت و رزقت طفلا
مرت الأيام و الشهور بسرعة و تزوجت و صار عندي ولد,ذات يوم وصلتني رسالة من بريطانيا ، قرأتها بتمهل ، كانت بالإنجليزية،  مبدئياً فهمت البعض من محتواها و البعض الآخر لم أفهمه
بيوم من الأيام وصلتني رسالة من بريطانيا قريتا ع مهل كانت بالانكليزي مبدئياّ فهمت شوي منّا و في شي ما فهمتو,عرفت أنها من صديق قديم عمل معنا من قبل
عرفت أنّا من صديق قديم اشتغل معنا من قبل,يوم بأكمله و ﺃنا أحاول أن أتذكر  ، أول مرة أسمع اسمه
يوم كامل و أنا عم اتذكر أول مرة بسمع فيّا بإسمو,يوم بأكمله و ﺃنا أحاول أن أتذكر  ، أول مرة أسمع اسمه
سكّرت الرسالة و حاولت مرة تانية أتذكر بس ما تذكرت أي حدا بهالاسم فتحت الرسالة مرة تانية و رجعت أئراها ع مهل,أغلقت الرسالة، حاولت مجددا أن أتذكر و لكنني عجزت عن تذكر أي شخص بهذا الاسم ، فتحت الرسالة مرة أخرى وظلت  أقرأها بهدوء
الله يسّرلي الإسلام و هداني على إيديك و ما رح أنسى صحبتك و رح ادعيلك,لقد يسر الله لي الإسلام و هداني على يديك ، لن أنسى صداقتك لي و سأدعو لك
بتذكر الكتاب اللي هديتني ياه يوم رجعت ع بريطانيا قريتو و صار بدي أقرا أكتر عن الإسلام,أتذكر الكتاب الذي أهديتني عند عودتي ﺇلى بريطانيا ، لقد قرأته و ﺃردت قراءة المزيد عن الإسلام
بتذكر الكتاب اللي هديتني ياه يوم رجعت ع بريطانيا قريتو و صار بدي أقرا أكتر عن الإسلام,و بتوفيق الله وجدت على غلافه عنوان ناشر الكتاب،  فراسلته لأطلب المزيد فأرسلوا لي ما طلبت
و بتوفيق من الله لاقيت ع غلافو عنوان ناشر الكتاب قمت راسلتو لأطلب منو بعد فبعتولي اللي طلبتو,ذهبت للمركز الإسلامي و أعلنت إسلامي و غيرت اسمي إلى اسمك لأنك صاحب الفضل بعد الله سبحانه و سأذهب  إلى مكة لأحج ان شاء الله
رحت عالمركز الإسلامي و أعلنت إسلامي و غيرت اسمي على اسمك لأنك صاحب الفضل بعد الله سبحانو و رح إجي على مكة,أغلقت الرسالة بسرعة ، أعدت فتحها  و قرأتها من جديد
سكّرت الرسالة بسرعة و رجع فتحتا و بلّشت اقراها من جديد,هزتني الرسالة ، لم اصدق ، بكيت كثيرا  كيف أن الله هدى رجلاً إلى الإسلام على يدي
هزتني الرسالة ما صدقت بكيت كتير كيف الله هدى زلمة للإسلام على إيديّ,كتاب بمائة دينار يهدي شخصا كافرا ؟ مستحيل
كتاب بمية دينار بيهدي شخص كافر مستحيل,كتاب بمائة دينار يهدي شخصا كافرا ؟ مستحيل
فرحت كتير أنو الله هداه للإسلام و زعلت كتير لأني سألت حالي وين كنت كل هالفترة عن العاملين معي و ما حاكيت حداّ منون عن الإسلام,فرحت كثيرا أن الله هداه للإسلام،  و حزنت كثيرا لأنني سألت نفسي : أين كنت في هذه الفترة عن العاملين معي؟  لم أكلم أحدا عن الإسلام
حاكيتون كتير و مازحتون كتير بس ما حكيتلّون عن الإسلام,حدثتهم كثيرا ، مازحتهم كثيرا و لكنني لم أحدثهم عن الإسلام
فكرت شوي لو كل واحد هدى كتاب واحد بس شو رح يصير,فكرت قليلا لو أن كل واحد ﺃهدى كتابا واحدا فقط ما  الذي سيحدث
فكرت شوي لو كل واحد هدى كتاب واحد بس شو رح يصير,أدرس في السنة الرابعة،  أبلغ من العمر ستة عشرة سنة و يريد أبي أن يزوجني بابن عمي،  و أنا لا أرغب في الزواج منه
بدرس بالسنة الرابعة و عمري سطّعش سنة و أبي بدّو يزوّجني بابن عمي و أنا ما بدي أتزوجو,ﺃبي ﺃرغمني على الزواج منه دون ﺃن يستشيرني ، فرفضت
أبي غصبني عالجازة منو بدون ما يستشيرني فرفضت,لكوني طالبة و ﺃريد أن أكمل دراستي قبل الزواج
لأني طالبة و بدي خلّص دراستي قبل الزواج,لكن تقاليدنا و تقاليد ﺃبي لا تسمح للبنت أن تبدي رﺃيها
بس عاداتنا و عادات أبي ما بتسمح للبنت تعطي رأيا,كلام الأب هو الذي ينفذ و الزواج سيكون رغماً عني
كلام الأب هو اللي بيمشي و الزواج رح يصير غصبا عني,كلام الأب هو الذي ينفذ و الزواج سيكون رغماً عني
حكيت مع أمي لتحكي معو فحاولت بس من دون فائدة,تكلمت مع أمي لكي تكلمه،  فحاولت لكن دون جدوى
حكيت مع أخواتي الكبار بس كمان ما في نتيجة,تكلمت مع إخوتي الكبار أيضا دون جدوى
حكيت مع ابن عمي بخصوص موضوع الزواج تفهم الموضوع و كلّم والدو كمان,تكلمت مع ابن عمي بخصوص موضوع الزواج،  تفهم الأمر و كلم والده أيضا
حكيت مع ابن عمي بخصوص موضوع الزواج تفهم الموضوع و كلّم والدو كمان,رفض أبوه و قال له : إذا لم تتزوج بنت عمك سيقع خلاف مع عمك
والدو رفض و ألّو أنو إذا ما تزوجت بنت عمك رح يصير خلاف مع عمك,ذهبت وعاودت التكلم مع أبي مرة ثانية
رحت و حاكيت أبي مرة تانية,كلمته عن دراستي التي لم أكملها بعد و عن مستقبلي
حكيتلو عن دراستي اللي ما كمّلتا و عن مستقبلي,توفيت أمه يوم ولادته و تركته وحيدا
توفّت ميمتو يوم ولادتو و تركتو لحالو,احتار والده في تربيته،  فأخذه إلى خالته ليعيش مع أبنائها ﻷنه مشغول في أعماله صباحا و مساءا
