Original_Dialect,MSA_conversion
﻿وحياه ربنا خايفه منك اكتير,وحياة ربنا، أنا خائفة منك جداً.
ماتجبرش حد يعمل حاجه هو مش عاوزها,لا تُجبر أحداً على فعل شيء لا يريده.
ابقى قابلني,سأراك لاحقاً (عبارة ساخرة).
ده ف المشمش,هذا أمر مستحيل.
فيه ناس كده تخلى الواحد يخرج عن شعوره ويقول كلام مالوش لازمة ويشيل ذنوب بالكوم ربنا يسامحهم ويسامحنا,هناك أشخاص يجعلونك تفقد أعصابك وتقول أشياء غير منطقية، وتتحمل ذنوباً كثيرة، اللهم سامحهم وسامحنا.
إتعلموا ثقافة السكوت يا جماعة إتعلموا تسكتوا لما تبقوا عارفين إن الكلام يا مالوش لازمة يا هيجيب مشاكل,تعلموا ثقافة الصمت، تعلموا أن تصمتوا عندما تدركون أن الكلام إما غير مفيد أو سيسبب المشاكل.
يا جماعة الشغل مع الستات دة أسوأ تاني حاجة في الدنيا بعد الكوسة بالبشاميل,يا جماعة، العمل مع النساء هو ثاني أسوأ شيء في الدنيا بعد طبق الكوسا بالبشاميل.
أنتَ بتغير كلامك مكنتش بتقولي الستات يتخاف منهم دول كيدهن عظيم,أنت تغير كلامك، لم تخبرني سابقاً أن النساء مخيفات، إن كيدهن عظيم.
اه انا شوفتها,نعم، لقد رأيتها.
الستات نكاديه ياشيخه ويزهقوا الواحد,النساء مُحبِطات يا شيخة، ويُتعبن الشخص.
ياخى اتنيل اتخرج الاول وبعدين شوف هتنيل ايه,يا أخي، ركز على التخرج أولاً، ثم انظر ما الذي ستفعله بعد ذلك.
دا  لو  كل  الستات سكتت زيك الرجاله هتنقرض,لو صمتت كل النساء، سينقرض الرجال.
إنتا,أنت.
أنا هتعود و انتا كمان لازم تتعود,سأعتاد على ذلك، وأنت أيضاً يجب أن تعتاد.
كانت تقصدني لما قالت أنتا فين والحب فين,كانت تقصدني عندما قالت: أين أنت، وأين الحب.
كلمة انا اسف بتبقي ساعات معناها انا مش غلطان بس انتا فارق معايا اوي ومش عاوز اخسرك,"أحياناً تكون عبارة ""أنا آسف"" بمعنى ""لست مخطئاً، لكنك مهم بالنسبة لي ولا أريد خسارتك""."
"دا من وجهة نظر اللى بيتاسف بس, بس الطرف التانى مش بيفهمها كده ابدا",هذا التفسير من وجهة نظر الشخص المُعتذر فقط، لكن الطرف الآخر لا يفهمها أبداً بهذه الطريقة.
أنتا بقيت فعالم وانا دلوقتي فعالم تاني أحنا اللي خلقنا المسفات الكبيره دي بس عارف في عالم تالت فخيالي بيجمعني بيك كل ما بحس اني محتجلك,أنت أصبحت في عالم، وأنا الآن في عالم آخر، نحن من خلقنا هذه المسافات الكبيرة، لكن هناك عالماً ثالثاً في خيالي يجمعني بك عندما أشعر بحاجتي إليك.
وان كنت هقدر احب تاني هحبك انتا,وإن شعرت أنني سأستطيع أن أحب مرة أخرى، فسأحبك أنت.
الليل موجود عشان يعرفك قديش انتا وحيد,الليل موجود لتعرف مقدار وحدتك.
قال صحيح هديك تشكيلتك,قال، نعم، سأعطيك مجموعة من الملابس.
لازم تسوي نفسك مبسوط حتى لو انتا مو مبسوط عشان لازم,يجب أن تتصرف وكأنك سعيد، حتى لو لم تكن سعيداً، لأن هذا ضروري.
إيه,ماذا؟
ايه يبه صار  كخه الحين الله يالدنيا,ماذا حدث لك الآن؟ هل أصبحت جباناً؟ يا ل الدنيا!
ياعمي حب ايه انته يلي تتكلم عليه,أي حب تتحدث عنه؟
تحت الترابيزة,تحت الطاولة.
ترضاهالى,أترضاها لي؟
انت شايف كلامه ياسطا  ترضاهالى,هل توافق على كلامه؟ أترضاها لي؟
تملي,دائماً.
عشان تملي الأرض ورد,لكي تمتلئ الأرض ورداً.
ايوه يادحمي دحين انتا تملي العين وكمان القلب بس لما تخرج عن النص تخرب الدنيا,"نعم يا ""دحمي""، أنت دائماً تملأ العين والقلب، لكن عندما تخرج عن المقبول، تفسد الأمور."
تيجي,تأتي.
بيعجبنى الناس اللى تيجى تقولك حلو اللبس ده حلوة ريحة الـ  دى  لما يشوفك يقولك وحشتنى لو شاف صورة ليك أو قرالك  يكتب  يفرحك,أعجبني الأشخاص الذين يأتون إليك ويقولون: هذا اللباس جميل، وهذا العطر جميل، وعندما يرونك يقولون: اشتقنا لك، وإذا رأوا صورة لك أو قرأوا شيئاً كتبته، يكتبون لك ما يفرحك.
ومجرد ما تقف معاهم كده تلاقى يومك بقى جميل,ومجرد أن تقف معهم، تجد أن يومك أصبح جميلاً.
الناس دى من جوه نضيفة وشبعانين جدا وواثقين فى نفسهم,هؤلاء الأشخاص من الداخل أنقياء، ومُكتفون، وواثقون من أنفسهم.
فعلا بحب أتعامل وأقابل ناس من دى كتير,أنا حقاً أحب التعامل ومقابلة مثل هؤلاء الأشخاص كثيراً.
بس للاسف النوع دا من الناس بقي قليل فحياتنا معظمهم بيحبو نفسهم وبس  ومليانين حقد علي غيره علي حسد وكره الخير للغيرحتي احنا اتغيرنا كلنا زفت,لكن للأسف، هذا النوع من الأشخاص أصبح نادراً، معظمهم يحبون أنفسهم فقط، وممتلئون بالحقد والحسد وكره الخير للآخرين، حتى نحن تغيرنا وأصبحنا سيئين.
فيه ناس كل اما تيجى تاخد خطوة مهمة يخوفوك منها ويسودوها فى وشك ومش فاهمين ان ماحدش بينجح فى حياته من غير ما يكون بياخد,هناك أشخاص كلما أردت أن تخطو خطوة مهمة، يخيفونك منها ويجعلونها تبدو سيئة، ولا يفهمون أنه لا أحد ينجح في حياته دون أن يتخذ خطوات.
عمرك ما هتلاقى حد بيحبك و بيعاملك زى ما انت بتعامله بالظبط  كل واحد لييه طريقته و شخصيته هو بس فا لما تيجى تختار حد اختار اللى تقدر تستحمله,لن تجد أبداً شخصاً يحبك ويعاملك بنفس الطريقة التي تعامله بها بالضبط، فكل شخص له طريقته وشخصيته، لذلك عندما تختار شخصاً، اختر من تستطيع تحمله.
متصغرش نفسك أو تيجي على كرامتك علي حد ميستهلكش اصلاً,لا تُصغر من نفسك أو تتنازل عن كرامتك من أجل شخص لا يستحقك أصلاً.
مفيش حاجة إسمها هتنسى في حاجة إسمها الموضوع هيغيب عن بالك لحد ما تيجي حاجة تفكرك بيه بس مش هتنسى,"لا يوجد شيء اسمه ""سأنسى""، هناك شيء اسمه ""الموضوع سيغيب عن بالك"" حتى تأتي شيء يذكرك به، لكنك لن تنسى أبداً."
مش هيهمه انت صاحى ولانايم,لن يهتم إن كنت مستيقظاً أو نائماً.
ومش هيستنى انك تيجى تسال عليه الاول,ولن ينتظر أن تأتي أنت وتسأل عنه أولاً.
اللى عايز يسأل هيسأل,من يريد السؤال سيسأل.
وارد جدا إن حد مايعرفكش كويس يفهمك غلط أو يحلل بعض تصرفاتك بوجهة نظر مش صحيحة  إنما غريبة جدا لما تيجي من حد قريب منك,من الممكن جداً أن يفهمك شخص ما بشكل خاطئ أو يحلل تصرفاتك بطريقة غير صحيحة، خاصة إذا كان شخصاً لا يعرفك جيداً، لكن من الغريب أن يأتي هذا الفهم الخاطئ من شخص قريب منك.
من بعد إزنك عاوز شقه للبيع داخل كوم حمادة تشطيب او من غير تشطيب بعد ازنك ممكن تنشر الطلب دااا,من بعد إذنك، أريد شقة للبيع داخل كوم حمادة، سواء كانت مشطبة أو غير مشطبة. من فضلك، هل يمكنك نشر هذا الطلب؟
ممكن من فضلك  بعد أزنك  و لو سمحت متوصلنيش لمرحلة أني  أدعي عليك انا بكلم حضرتك من رمضان رد عليا ضروري جدا بعد ازنك,من فضلك، إذا سمحت، لا توصلني لمرحلة أن أدعي عليك. أنا أتحدث معك منذ رمضان، رد عليّ ضروري جداً من فضلك.
لا يعم متسمعش الاخبار د من هنا و رايح بعد ازنك,لا تسمع الأخبار بعد الآن من هنا فصاعداً، من فضلك.
ما انا بقولك كدا علشان فرحانه اصل انتي مش متخيله انا بحب اوضتك اد ايه,أنا أقول لك هذا لأنك سعيدة، فأنت لا تتخيلين كم أنا أحب غرفتك.
أدي,هذا هو.
بقعد افتكر المواقف المحرجه اللى حطيت نفسى فيها واد ايه كنت  فى نفسى جداً وببقى عايزه ادى نفسى بالجزمه,أجلس وأتذكر المواقف المحرجة التي وضعت نفسي فيها، وكم كنت غاضباً من نفسي، وأريد أن أضرب نفسي بالحذاء.
ادي يا استاذ  اللي بناخده من الاشكال الي مفروض بتمثل بلدها بره,هذا هو يا أستاذ، ما نحصده من أمثال هذه الأشكال التي من المفترض أن تمثل بلدها في الخارج.
واخده تافهه زي دي خلت واحد اتفهه منها يهاجمنا,انظر إلى هذه التافهة التي جعلت شخصاً أكثر تفاهة منها يهاجمنا.
ادي اللي انتي كتير سبتيه خلاص سابك,هذا هو ما حصلت عليه لأنك تركته كثيراً، والآن تركك.
عايزه ادي دماغي فترة أجازه لا تفكير لا قرارات لا شغل و لا اي حاجه,أريد أن أعطي عقلي إجازة، لا تفكير، لا قرارات، لا عمل، ولا أي شيء.
انا واخده قرارات الفتره اللي فاتت تكفيني خمس سنين قدام,لقد اتخذت قرارات في الفترة الماضية تكفيني لخمس سنوات قادمة.
ادي اخرت اللي ينزل تدريب مع عمه  متدربوش مع حد تعرفوه  غيبوا براحتكوا  ناموا براحتكوا,هذا ما سيحصل عندما تتدرب مع عمك، لا تتدرب مع شخص تعرفه، تغيب كما تريد، نم كما تريد.
ايه اللي بيخليني انسحب من لساني بس و ادي مواعيد بدري كدا و أنا نايمة ساعتين مابحبش أضيع اليوم,ما الذي يجعلني أتسرع في كلامي وأعطي مواعيد مبكرة هكذا وأنا نائمة لساعتين فقط؟ أنا لا أحب أن أضيع اليوم.
أزيك ازيك واحشني عامل ايه  اخبار صحتك وايه الدنيا معاك بقولك ايه ممكن لما حد يسألني ازيك او عامل ايه برد ع طول ب كويس او زي الفل مش عشان انا فعلا كويس او زي الفل لا هو حوار تعود وانا اتعودت اقولها دايما,كيف حالك؟ كيف حالك يا عزيزي، اشتقت لك، كيف هي أخبارك؟ ماذا عن الدنيا معك؟ اسمع، هل يمكن عندما يسألني أحد عن حالي أو عن أحوالي، أن أرد عليه مباشرة بأنني بخير أو على ما يرام، ليس لأنني بخير فعلاً أو على ما يرام، لكنها عادة، أنا اعتدت أن أقول ذلك دائماً.
لما حد كل لما يفتح يقولي ازيك ارد واقوله ازيك يقولي تمام ويقفل وكل يومين او يوم يعيد نفس النظام,"عندما يسألني شخص كل يوم: ""كيف حالك؟""، أرد عليه: ""بخير""، فيقول: ""تمام""، ثم يغلق الخط، وبعد يومين أو يوم يعيد نفس الشيء."
هو دا يعني اي حد يقولي طب ازيك,"هذا ما يحدث، أي شخص يسألني: ""كيف حالك؟""، ماذا أقول له؟"
كان نفسي اكون من النوع اللي يكلم اصحابة علطول والكلام دا بس للاسف مبعرفش اتكلم ازيد ازيك ازيك تمام تمام وبس ولو في موضوع بس غير كدا بلح,"كنت أتمنى أن أكون من النوع الذي يتحدث مع أصدقائه طوال الوقت، لكن للأسف، لا أعرف كيف أتحدث أكثر من: ""كيف حالك؟ كيف حالك؟ تمام، تمام، وبس""، إلا إذا كان هناك موضوع ما، غير ذلك، لا أستطيع."
أوام,فوراً.
