Original_Dialect,MSA_conversion
ناس بداو تيتباكاو وبديت تنهدر ب نفعل بحال إلى تنهدي الناس,تعالت أصوات الناس بالبكاء،  بدأت أتحدث بانفعال و كأنني أهدي في الناس
ناس بداو تيتباكاو وبديت تنهدر ب نفعل بحال إلى تنهدي الناس,فبكيت،  سكت الناس جميعا و أنا ذهلت من نفسي ، كأني في حلم
بكيت والناس كلهم سكتو وانا جاني لعجب فراسي بحال إلى كنحلم,قام الجميع يسلمون علي و يتحدثون معي ، نصفه بكاء و نصفه الآخر لم أفهمه
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,دعينا للعشاء و كان العشاء يكفي جميع المدعوين
تعردنا لعشا و كان لعشا كافي لكلشي المعرودين,ﺃمضيت ﺃياما جميلة لن أنساها طوال عمري
دوزنا يامات زوينة ما عمري ما ننساها,أنهيت دراستي في المعهد بمشقة
كملت قرايتي في المعهد بزز,فلم أكن جادا في دراستي
ماكنتش كان قرا مزيان,فلم أكن جادا في دراستي
خدمت في واحد من السبيطارات لي قراب من الدار الحمد لله أموري متيسرة و كنعيش مع والديى,اشتغلت في أحد المستشفيات القريبة من بيتي،  الحمد لله فأموري متيسرة و أعيش مع والدي
قررت نجمع الصداق لمراتي كانت الخدمة غادة مزيان و حيت كانت الخدمة فالسبيطار ديال العسكر,قررت أن أجمع مهر زوجتي،  كان العمل يسير بشكل جدي و منظم خاصة أن عملي في مستشفى عسكري
قررت نجمع الصداق لمراتي كانت الخدمة غادة مزيان و حيت كانت الخدمة فالسبيطار ديال العسكر,المستشفى يضم موظفين من كل البلدان من أوروبا من إفريقيا و كانت علاقتي بهم علاقة عمل
سبيطار فيه مواضافين من كلش البلدان من أوروبا من إفريقيا و كانت عالقتي بيهوم غير الخدمة,و في أحد الأيام قرر أحد الأطباء البريطانيين السفر إلى بلاده لانتهاء مدة عمله معنا
و واحد النهار واحد من الأطباء الإنجليزيين بغا يرجع لبلادو حيت سالى خدمته معنا,فكرنا في إقامة حفل وداع له و حددنا حديقة المستشفى كمكان لإقامة الحفل
فكرنا أنديرو لو حفلة ديال دبار وقررنا أنديروها في جردة ديال سبيطار,حضرنا كل شيء،  اشترينا الحلويات و المشروبات
وجدنا كلشي شرينا الحلوى و العصير,و لكن الأمر الذي كنت أفكر فيه هو ما هي الهدية التي سأقدمها له
ولكن كنت كنفكر أش من كادو غنعطيه,هذا الطبيب يهوى جمع القطع التقليدية
هاد الطبيب كيبغي يجمع البيسات التقليدية,هذا الطبيب يهوى جمع القطع التقليدية
ڭال لي ولد عمي نشري ليه مصحف ولا كتاب ديال الدين,اقترح علي ابن عمي أن ﺃشتري له مصحفا أو كتابا يتحدث عن الإسلام
لغدليه منين مشيت نشوف شنو نشري ليه لقيت واحد الكتاب كيهدر على الإسلام بنڭليزىة,في الغد ، عندما ذهبت لأبحث  عما أشتري له ، وجدت كتابا  بالإنجليزية يتحدث عن الإسلام
لغدليه منين مشيت نشوف شنو نشري ليه لقيت واحد الكتاب كيهدر على الإسلام بنڭليزىة,رنت كلمات ابن عمي في أذني،  فقررت أن أشتريه خاصةً أنه لم يكن غالي الثمن
تفكرت شنو ڭال لي ولد عمي ونا نقرر نشريه معا نيت كان ماغاليش,أخذت الكتاب  و الحفل كان ممتعا،  ﺃعطيته الهدية و بعدها سافر صاحبنا الطبيب
خديت الكتاب دازت الحفلة مزيان عطيت الكادو و مرها سافر صاحبنا الطبيب,مرت الأيام و الشهور بسرعة،  تزوجت و رزقت طفلا
دازو ليام دغية تزوجت و درت ولِيٌد,ذات يوم وصلتني رسالة من بريطانيا ، قرأتها بتمهل ، كانت بالإنجليزية،  مبدئياً فهمت البعض من محتواها و البعض الآخر لم أفهمه
واحد النهار جاتني برية من نڭلييز قريتها بشوية كانت بنڭليزية فهمت شي حاجة أو شي حاجة ما فهمتهاش,عرفت أنها من صديق قديم عمل معنا من قبل
عرفتها من شي واحد خدم معيا شحال هادي,يوم بأكمله و ﺃنا أحاول أن أتذكر  ، أول مرة أسمع اسمه
اليوم كلو و أنا كنتفكر أول مرة سمعت سميتو,يوم بأكمله و ﺃنا أحاول أن أتذكر  ، أول مرة أسمع اسمه
سديت البرية و حاولت عوتني نتفكر و لكن مقديتش نتفكر حتا شى واحد بهاد سمية حليت البرية عوتاني وبقيت كنقراها بشوية,أغلقت الرسالة، حاولت مجددا أن أتذكر و لكنني عجزت عن تذكر أي شخص بهذا الاسم ، فتحت الرسالة مرة أخرى وظلت  أقرأها بهدوء
سيدي ربي هداني للأسلام علا يديك ما عمري ما ننسا الصحبة ديالك و غادي ندعي معاك,لقد يسر الله لي الإسلام و هداني على يديك ، لن أنسى صداقتك لي و سأدعو لك
