Original_Dialect,MSA_conversion
واحد شايل لوح التزلج في الليل على الرصيف.,شخص ما يحمل لوح التزلج ليلا على الرصيف.
الحريم يتسابقون في سباق دايتونا 500,تتسابق النساء في سباق الدايتونا 500.
يمشون الحريم جنب بعض.,تمشي النساء جنبا إلى جنب.
رجال لابس بلوزه خضراء ويطامر على العشب.,يقفز الرجل ذو القميص الأخضر عاليا على العشب.
رجالين جالسين على العشب ومعهم موز.,رجلان يجلسان على العشب ومعهما موز.
مجموعة صخور عليها علامات غريبة وتجمعوا الناس حولها.,كومة من الصخور تحمل علامات غريبة ، تسببت في تجمع الناس حولها.
وحدة من الحريم ساعدت متسابق كان يركض وطاح ووقفته على قدميه.,ساعدت النساء أحد العدائين الذي كان قد سقط ، للوقوف ثانية على قدميه.
الحرمه تشتري صوف,تشتري المرأة الغَزْل.
حرمه لابسة ملابس سودا وتركض في واحد من الشوارع,تهرول امرأة في أحد الأزقة ، مرتدية ملابس سوداء .
تراه حفل طرب,إنه حفل موسيقي.
راحوا الرجالين للمدرسة مع بعض,ذهب الرجلان إلى المدرسة معا.
شنطة الحرمة فيها المعرض الفني اللي هي قاعدة فيه,تحتوي حقيبة المرأة على المعرض الفني الذي تتواجد فيه.
موقفين ثلاث رجاجيل على منصة سوداء قاسية وجنبهم كرسي اسود وعود,يقف ثلاثة أشخاص على منصة سوداء صلبة بجانب كرسي أسود وقيثارة.
شنطة الظهر وسيعة من جوا,حقيبة الظهر واسعة من الداخل.
فنان يحاول يبيع لوحاته,فنان يحاول بيع لوحاته.
رجال يتكلم  لثلاث رجاجيل معاه عن حرمة يساره تتصرف تصرفات غريبة,رجل يتحدث إلى ثلاثة رجال عن امرأة تبدو غريبة الأطوار على اليسار
رجالين لابسين لبس لونه غامق يراقبون مجموعة من الناس,يراقب رجلان مرتديان ملابس داكنة اللون ، حشدا من الناس.
كان الرجال يطق الطبول,كان الرجل يقرع الطبول.
الأرض عليها ثلوج,الأرض عليها ثلوج.
الصخره طويلة وتصلح للتسلق,طول الصخرة قابل للتسلق.
البزر يقرأ كتاب عن الكلاب,يقرأ طفل كتابا عن الكلاب.
فيه عرض عسكري في البر,هناك عرض عسكري في الخلاء.
لاعبة التنس لابسة لبس ألوانه ماتتناسب مع بعض,ترتدي لاعبة التنس زيا متناقض الألوان.
الرجالين قاعدين يفحصون حشرات نادرة في الغابة,يقوم الرجلان بتفحص حشرات نادرة في الأدغال.
ممكن يكون لاعب الجمباز مناسب,قد يكون لاعب الجمباز مناسبا.
القطوة تلاحق كلب برا,قطة تطارد كلبا في الخارج.
مجموعة كلاب تزحلق تركض في السباق,تركض مجموعة من كلاب الزلاجات في السباق.
كهربائي يثبت الأسلاك على قطب في السطح,يعمل كهربائي لتثبيت الأسلاك على قطب في السطح.
البنت في الجهة الثانية تركض مبتسمة وهي شايلة منشفة أخواتها,الفتاة في القسم الثاني تركض مبتسمة ، بينما تحمل منشفة أخواتها.
كسر رجال سيكلهم,حطم رجل دراجتهم.
بزران يلعبون بالبلونات ورجال جالس فوقهم لابس لبس موز,أطفال يلعبون بالبالونات ،يجلس فوقه رجل يرتدي زي الموز.
جنود يمشون قدام فيل,يسير جنود أمام فيل
بنت عندها كاحلين مكسورين,فتاة لديها كاحلان مكسوران.
حرمة لابسة بلوزة بيضاء في حديقة مليانة باللصقات,تجلس امرأة مرتدية قميصا أبيض في حديقة محاطة بالملصقات.
"تصور رسومات على الجدار بزران يرسمون الكلمات "" Brick City ""","تصور رسومات على الحائط أطفالا يرسمون الكلمات "" Brick City "" على الحائط."
يرسم الرسام على الملابس,يرسم الرسام على الملابس
رجال من الشرق الأوسط يطبخ سمك في المطبخ,يحضر رجال من الشرق الأوسط السمك في مطبخ.
يلعب كلب بلعبته.,يلعب كلب بلعبته.
البنت تشيل بيرة,تحمل الفتاة جعة.
الرجال يقطع شي بسكين,يقطع رجل شيئا ما بسكين.
سبعة رجاجيل يصلون في الكنيسة,سبعة رجال يؤدون الصلاة في كنيسة.
الرجال قريب من بزرين,الرجل بالقرب من طفلين.
الولد لابس بلوزة حمراء,يرتدي الصبي قميصا أحمر.
ولدين ماشين في موكب,يسير صبيان ضمن موكب.
حرمة قاعدة على البحر,امرأة جالسة على الشاطئ.
بزارين يلعبون برا,أطفال يلعبون في الخارج.
كان يصيح البزر جوعان,كان الطفل يبكي لأنه كان جائعا.
الكلب يعرج وسط المزرعة,الكلب يعرج وسط الحقل.
اثنين جالسين جنب عمارة كبيره يسولفون,يجلس شخصان بجانب مبنى كبير، حيث كانا يتحدثان.
بزر لابس أحمر على شي أحمر ويطمر وفيه ناس تضحك,يقفز طفل مرتديا أحمر على شيء أحمر ، بينما يضحك الآخرون.
مافيه حرمة في الشارع لابسة أخضر,لا يوجد امرأة في الشارع ترتدي الأخضر.
رجالين شايلين شعارين يقصدون بها الرئيس,يحمل الرجلان شعارا موجها إلى الرئيس.
عامل صخور موجود في واحد من المطارات,يتواجد عامل صخور في أحد المطارات.
البزر معرق على البحر,الطفل يتعرق على الشاطئ.
الناس نايمين على الكنبة,الناس نائمون على الأريكة.
كلب لونه رمادي يركض برا,كلب رمادي يركض في الخارج.
حرمة لابسة جاكيت شتوي,امرأة مرتدية معطفا شتويا.
حرمة ماسكة يد بزرها,تمسك امرأة بيد طفلها.
ناس قاعدين يصورون واحد من الفيلة,أناس يلتقطون صورا لأحد الفيلة.
سواق السيكل بعد السباق,سائق الدراجة بعد السباق.
الشنطة الصفراء فاضية,الحقيبة الصفراء فارغة.
ولد عنده كيك,شاب لديه كعك.
تتجمع الناس في ساحة التايمز,تجتمع الحشود في ساحة التايمز.
كلب بردان في وحدة من البرك,كلب بردان في أحد البرك.
مجموعة من الناس اغلبهم لابس قبعات من السعف وواقفين في البر بين الأراضي,تقف مجموعة من الناس ، أغلبهم بقبعات مصنوعة من القش ، في الخلاء بين الأراضي الخضراء.
يسوي الجرسون شراب,يُعد النادل شرابا.
كلبين يلاحقون أرنب,كلبان يطاردان أرنبا.
يطير الكلب في الهواء في الطيارة,يحلق الكلب عبر الهواء في الطائرة.
تخيط حرمة القطعة المنشقة,تخيط امرأة القطعة الممزقة.
يشترون الناس عشان عيد ميلاد ربعهم العمال,يتسوق الناس لعيد الميلاد من أجل زملائهم العمال.
ينسدح ولد صغير لابس طربوش صغير على عشب أخضر مع أوراق يابسة على الأرض,يستلقي صبي صغير مرتديا قبعة صغيرة على عشب أخضر ، مع أوراق يابسة على الأرض ، على وشك أن يأخذ قيلولة.
يتسوقون الناس في الهواء الطلق,يتسوق الناس في الهواء الطلق.
رجال لابس لبس جلدي ويدق على آلة التوبا,يعزف على آلة التوبا رجل يرتدي سترة جلدية.
رجال يطلع الزبايل,رجل يُخرج القمامة.
رجال ينسدح على الأرض,رجل يستلقي على الأرض.
مجموعة من الناس تحت المطر,عدد من الأشخاص تحت الأمطار.
الفرقة تسوي 8 أغنيات تحت الأنوار,تؤدي الفرقة 8 أغنيات تحت الأضواء.
المتفرجين شافوا المسرحية اللي قاعدة تنعرض,يشاهد المتفرجون المسرحية التي تُعرض.
العجينة بيضاء.,العجينة بيضاء.
أولاد يلعبون لعبة فيديو.,صبية يلعبون لعبة فيديو.
بزر جوا نفق للسكك الحديدية.,طفل داخل نفق للسكك الحديدية.
مجموعة من الناس يتسابقون في مسابقات الركض.,يتنافس مجموعة من الناس في نوع من مسابقات العدو.
بنت صغيرة تطبق دروس الكاراتيه على أخوها.,تطبق فتاة صغيرة دروس الكاراتيه على أخيها.
يسلم الولد على رجال البلدية.,يصافح الصبي رجل البلدية.
الرجال على البحر.,الرجل على الشاطئ.
طمر الكلب فوق.,قفز الكلب عاليا.
هذاك اليوم  بين الشجر الأزرق.,ذات مرة بين البرقوق الأزرق.
رجال عجوز  يمسك شي حاد بين يديه.,رجل مسن يمسك شيئا حادا بين يديه.
يوقفون ناس قدام  معدات ميكانيكية.,يقف أناس أمام معدات ميكانيكية.
يركض كلبين لم راعيهم.,يركض كلبان باتجاه صاحبهما.
أخوين ياكلون الأكل .,شقيقان يتناولان الطعام.
لاعب البيسبول لونه أبيض .,لاعب البيسبول أبيض اللون.
يمسك الرجال المسدس عشان يسرق بسطة البياع .,يسحب الرجل مسدسا لسرقة فرشة البائع.
يناظرون الناس عرض محترف للعب بالنار.,يشاهد الناس عرضا محترفا للعب بالنار.
بنت تلبس وردي و تمتطي خيل.,فتاة ترتري الوردي تمتطي مهرا.
ولد يسوي خدعة على سيكل.,شاب يقوم بعمل خدع من على دراجة.
رجال يلبس لبس و طاقية السباحة ويطمر للبركة ، ويناظرونه الرجاجيل,رجل يرتدي قبعة الاستحمام وملابس السباحة يقفزإلى البركة ، في حين ينظر إليه رجال آخرون.
واحد رايح للسباحة في المحيط.,شخص ما ذاهب للسباحة في المحيط.
الجو فيه شمس برا.,الجو مشمس في الخارج.
رجال وحرمة مايقدرون يشوفون بعض,رجل وامرأة لا يستطيعان رؤية بعضهما البعض.
في رجال يحتري في مترو الأنفاق.,هناك رجل ينتظر في مترو الأنفاق.
بلونة هواء طولها 20 قدم,فقاعة هواء طولها 20 قدما.
رجال متفصخ  قاعد على الكنبة .,رجل عارٍ يجلس على الأريكة.
رجال ينحت الثلج,رجل ينحت منحوتة من الجليد.
عارض الشوارع يستعمل النار في عرضه,النار جزء من العرض لعارض الشوارع.
يطامرون البزران على البحر ويدورون على المحار,يتقافز الأطفال على الشاطئ وهم يبحثون عن المحار.
رجال لابس لبس أسود في فيلم,رجل ذو سترة جلدية سوداء في فيلم
رجال ماكان عليه بلوزة بس لابس بنطلون جينز.,رجل لم يكن يرتدي قميصا ولكنه كان يرتدي سروالا من الجينز.
يقعد رجال عجوز.,يجلس رجل عجوز.
ولد معجبة سيكل.,صبي معجب بدراجة.
بعض الناس كانوا يلعبون رياضة، وتعور رجال واحد.,بعض الناس كانوا يمارسون الرياضة، وأصيب رجل واحد.
حرمة توقف على أكتاف رجال طويل .,سيدة تقف على أكتاف رجل طويل القامة.
رجال يراقب رجال ثاني وهو يلعب لعبة.,رجل يراقب رجلا آخر وهو يلعب لعبة.
بزر يلبس بلوزة مقلمة  بقوس قزح يدف عربية لعبة.,طفل يرتدي قميصا مقلما بقوس قزح يدفع عربة لعبة.
ماكان فيه سيكل,لم يكن هناك دراجة
مجموعة ناس يتجهزون للسباحة.,تستعد مجموعة من الناس للسباحة.
زوجين في باريس.,زوجان في باريس.
واحد يتسلق على جدار.,شخص مستلقٍ على جدار.
رجالين يلعبون ببنادق المسامير، بس إنها بدون خشب .,رجلان يلعبان ببنادق المسامير، ولكن بدون خشب .
يحرك الرجال الكنبة.,يحرك الرجل الأريكة.
السياح في روما معجبتهم نافورة تريفي.,السياح في روما معجبون بنافورة تريفي.
حرمة شقراء تتظاهر قدام مطار.,امرأة شقراء متظاهرة أمام مطار.
هو يشتغل مع موظف ثاني.,هو يعمل مع موظف آخر.
وقف الرجال جنب لوحة نبراسكا.,وقف الرجل بالقرب من لافتة نبراسكا.
ولد مراهق يطمر زلاجة تنفخ .,صبي مراهق يقفزعلى مزلجة قابلة للنفخ.
واحد  قعد يلعب لعبة الخطة  12 ساعة.,استمر شخص بلعب الحجلة لمدة 12 ساعة.
رجال يلبس لبس  شبح ، يحب الطرب القوي .,رجل يرتدي زي شبح ، يحب الموسيقى التي تعزف بعنف.
ولد مبسوط وهو يوازن طبق ذهب.,صبي وبسعادة موازنة طبق من ذهب.
بنت تلبس ألوان تورقص برا.,فتاة ترتدي ألوانا ترقص في الخارج .
عصفور موقع على سلك الكهرب.,عصفور يجلس على سلك الطاقة.
مجموعة من البزران يسبحون في مَسْبَح.,مجموعة من الأطفال يسبحون في مَسْبَح.
واحد يكتب شيء على كتاب.,شخص يكتب شيئا ما على كتاب.
واحد  ينظف الشبابيك جوا.,رجل ما ينظيف النوافذ في الداخل.
يشبكون البنات أصابعهن على شكل V.,تعقد البنات أصابعهن على شكل V.
ينحاش الناس من الأجانب.,يهرب الناس من الأجانب.
يدق الرجال لمجموعة من الناس .,يعزف الرجل لحشد من الناس .
ولد صغير يتسلق شجرة في وسط المدينة.,صبي صغير يتسلق شجيرة في وسط المدينة.
هذي الحرمة تتفرج على التلفزيون ، وهي تحتري الاكل.,هذه المرأة تشاهد التلفاز ، بينما هي تنتظر الطعام.
مجموعة من الرجاجيل يسولفون .,مجموعة من الرجال يتحدثون .
رجاجيل ماسكين لهم موضوع .,رجال يتناولون موضوعا ما .
بزران يلبسون ملابس متناسقة وموجودين في حفلة.,أطفال يرتدون ملابس متوافقة متواجدون في حفلة.
كثير من الناس يمشون في الشارع.,كثير من الناس يسيرون في الشارع.
حرمة تمشي جنب بياع أغاني يدور في الشوارع,امرأة تمشي بجوار بائع أغذية متجول في الشوارع
بزر يقعد على جدار حجر .,يجلس طفل على جدار حجري .
فار كبير يلاحق حرمتين يبي يعضهم  .,يطارد فأر عملاق امرأتين لعضهما .
